,MatrixID,Lat,Lon,StudyStart,StudyEnd,GenTime,db,Download,air_temperature,air_temperature_SD,total_precipitation,total_precipitation_SD,volumetric_soil_water_layer_1,volumetric_soil_water_layer_1_SD,volumetric_soil_water_layer_2,volumetric_soil_water_layer_2_SD,snowfall,snowfall_SD,volumetric_soil_water_layer_3,volumetric_soil_water_layer_3_SD,volumetric_soil_water_layer_4,volumetric_soil_water_layer_4_SD,runoff,runoff_SD,total_evaporation,total_evaporation_SD
1600,249522,35.125556,-78.995278,2011,2013,8.812041872,comadre,1,290.2609846,7.394538578,0.085233225,0.036107612,0.252023997,0.04076032,0.243362241,0.047069192,0.000235119,0.00079794,0.206194719,0.04648888,0.218546717,0.016666887,0.002102872,0.002329494,-0.083615181,0.036892612
1601,249523,42.45,-84.016667,NA,NA,1.771505111,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1602,249524,-23.55,149.216667,1994,1997,6.485520915,comadre,1,295.7197661,4.197460792,0.044120575,0.048604436,0.170199113,0.044146348,0.19197923,0.040488084,0,0,0.178088294,0.024030575,0.168178495,0.008578004,0.00242132,0.006682953,-0.04253411,0.025406513
1603,249526,NA,NA,1987,2011,29.13154015,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1604,249527,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1605,249528,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1606,249529,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1607,249530,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1608,249531,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609,249532,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1610,249533,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1611,249534,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1612,249535,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1613,249536,NA,NA,1987,2011,26.81627712,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1614,249537,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1615,249538,NA,NA,1987,2011,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
